"section_title","section_kind","question_code","prompt","question_type","category","trait","reverse","scale_min","scale_max","option_a","option_b","option_c","option_d","option_e","impacts_a","impacts_b","impacts_c","impacts_d","impacts_e"
"Response Orientation","SCENARIO","Q44","A service desk system upgrade led by Gopal fails due to integration issues, delaying client rollout. How should Gopal foster learning from this?","SJT_SINGLE","Response Orientation","","False","1","5","Move to the next project to avoid dwelling.","Conduct a post-mortem with lessons learned and action plans.","Retrain the team on integration.","Blame the integration team.","Escalate to leadership for guidance.","","","","",""
"Response Orientation","SCENARIO","Q45","A compliance team member, Neha, has a financial stake in a vendor bidding for her project. She's part of the evaluation team. How should her manager, Omar, handle this?","SJT_SINGLE","Response Orientation","","False","1","5","Allow Neha to evaluate, trusting her professionalism.","Remove Neha from the evaluation and disclose her interest.","Disclose her interest but allow her input.","Ignore unless the vendor is selected.","Escalate to HR for a decision.","","","","",""
"Response Orientation","SCENARIO","Q46","Under pressure to meet a client deadline, a developer suggests bypassing security tests for a banking app. The client is unaware. How should the project lead, Zara, respond?","SJT_SINGLE","Response Orientation","","False","1","5","Allow bypassing tests to meet the deadline.","Reinforce ethical standards and explore schedule recovery options.","Reduce app features to meet the deadline.","Notify the client of potential risks.","Escalate to leadership for guidance.","","","","",""
"Response Orientation","SCENARIO","Q47","A DR test led by Harsh fails to restore systems in time. What is the first step for Harsh?","SJT_SINGLE","Response Orientation","","False","1","5","Retrain the DR team.","Conduct a root cause analysis.","Switch to a new DR tool.","Notify stakeholders of the failure.","Increase test frequency.","","","","",""
"Response Orientation","SCENARIO","Q48","Stakeholders are concerned about DR test results from a test led by Indira. How should Indira address this?","SJT_SINGLE","Response Orientation","","False","1","5","Provide a detailed technical report.","Present a summary with improvement plans.","Delegate communication to the DR team.","Offer a discount for test failures.","Avoid discussing results.","","","","",""
"Response Orientation","SCENARIO","Q49","A client demands a 4-hour RTO for critical systems. How should Jaspreet ensure this?","SJT_SINGLE","Response Orientation","","False","1","5","Upgrade all systems.","Conduct a gap analysis for RTO compliance.","Train the team on faster recovery.","Outsource DR to a vendor.","Promise the RTO without analysis.","","","","",""
"Response Orientation","SCENARIO","Q50","A data privacy law impacts Kamal's project. What is the first step for Kamal?","SJT_SINGLE","Response Orientation","","False","1","5","Implement new security measures.","Conduct a privacy impact assessment.","Train the team on the law.","Outsource compliance tasks.","Ignore until audit.","","","","",""
"The Probability Dilemma","SCENARIO","Q51","Vikram's team has developed a breakthrough AI model that gives Wissen a significant competitive advantage. During final validation, he discovers that the model was trained on a dataset that includes a small percentage of copyrighted material, obtained through a web scrape. Retraining would delay launch by 18 months, allowing competitors to catch up. Legal advises the risk of litigation is low but not zero. What should Vikram do?","SJT_SINGLE","The Probability Dilemma","","False","1","5","Launch immediately; the competitive advantage justifies the minimal legal risk. The delay would harm Wissen more than a potential lawsuit.","Scrap the model and start over with properly licensed data, accepting the 18-month delay and loss of market advantage as the price of integrity.","Launch but immediately form a secret team to develop a replacement model, hoping to swap it out before any legal challenges arise.","Disclose the issue to a few key clients, ask for their trust, and launch with a transparent commitment to rectify any future legal findings.","Convene a closed-door strategy session with leadership to explore acquiring the rights retroactively or settling potential claims preemptively.","","","","",""
"The Probability Dilemma","SCENARIO","Q52","Anita's team is two weeks away from delivering a mission-critical system to a top-tier banking client. A junior developer discovers a fundamental architectural flaw that, while not causing immediate failure, will make the system impossible to scale or upgrade after 18 months. Fixing it now would mean missing the deadline, breaching the contract, and potentially losing the client. The client is unlikely to discover the flaw for at least a year. What should Anita do?","SJT_SINGLE","The Probability Dilemma","","False","1","5","Deliver as planned, and immediately form a post-launch team to work on a ""version 2.0"" that can be swapped in before the scalability issue becomes critical.","Inform the client immediately, explain the situation transparently, and accept the contractual penalties and reputational damage as the cost of doing the right thing.","Fix the flaw, delay delivery, and present the client with an ultimatum: accept the delay for a superior long-term solution, or we part ways.","Document the flaw thoroughly, deliver the system, and ensure the client signs off on the final acceptance, shifting long-term responsibility to them.","Approach the client's CTO privately, explain the trade-off, and seek their informal blessing to deliver now with a confidential roadmap for the upgrade.","","","","",""
"The Probability Dilemma","SCENARIO","Q53","Two of Rohan's most senior leaders, both critical to Wissen's future, have reached an irreconcilable personal and professional conflict. Their feud is beginning to poison the wider leadership team. If both stay, the toxicity will spread. If either leaves, Wissen loses irreplaceable expertise and client relationships. Mediation has failed. What should Rohan do?","SJT_SINGLE","The Probability Dilemma","","False","1","5","Keep both, but restructure the organization to create maximum separation between them and their teams, even if it creates inefficiency.","Conduct a difficult but honest assessment of who is more aligned with Wissen's long-term culture and values, and make the painful decision to let the other go.","Let them both go. The cost of the toxicity and the precedent it sets is higher than losing any single individual, no matter how talented.","Send both to an extreme, high-stakes leadership retreat or challenge, hoping that a shared difficult experience will force a breakthrough.","Do nothing for now, hoping that time or a external event will resolve the conflict, while managing the symptoms.","","","","",""
"The Probability Dilemma","SCENARIO","Q54","A sudden, severe market downturn means Wissen must make immediate, deep budget cuts. Deepa's department must cut 30% of its budget in 30 days. Any significant cut will mean either: (a) laying off 30% of her team, including many high-performers, or (b) canceling a high-profile innovation project that is the future of the business. Both options are devastating. What should Deepa do?","SJT_SINGLE","The Probability Dilemma","","False","1","5","Implement a combination of both: layoffs and project cuts, spreading the pain but ensuring neither the team nor the future is completely destroyed.","Fight leadership on the cut, presenting alternative, creative financing options and arguing passionately that the long-term damage outweighs the short-term savings.","Protect the people at all costs. Cut the innovation project completely, believing that talent can rebuild strategy, but strategy cannot replace lost talent.","Protect the future at all costs. Make the layoffs, believing that the innovation project is the only way to secure jobs for everyone in the long run.","Propose a dramatic, high-risk alternative: a 50% cut to everything, creating a ""survival mode"" that will burn out the remaining team but keep both people and project alive.","","","","",""
"The Probability Dilemma","SCENARIO","Q55","During a high-stakes acquisition negotiation that would transform Wissen's market position, the target company's CEO privately offers Priya a personal consulting deal worth $2M over three years, contingent on the acquisition closing. The deal is structured to be private and would not technically violate any laws in the target's jurisdiction. Priya knows this could influence her judgment, but also believes the acquisition is absolutely the right move for Wissen. What should Priya do?","SJT_SINGLE","The Probability Dilemma","","False","1","5","Immediately and firmly decline the personal deal, and disclose the offer to Wissen's board and her own leadership, even if it jeopardizes the acquisition.","Accept the deal but donate the entire amount to a charity of Wissen's choice, ensuring no personal gain.","Reject the deal, but do not disclose it to avoid any risk of the acquisition falling through. She knows it won't influence her judgment.","Propose that the $2M be structured as a reduction in the acquisition price instead, benefiting Wissen directly.","Consult with a trusted mentor outside Wissen for advice on how to navigate this without disclosing spe","","","","",""
"Word Association","SCENARIO","Q56","Betrayal","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q57","Sabotage","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q58","Failure","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q59","Chaos","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
"Word Association","SCENARIO","Q60","Exploit","FREE_TEXT","Word Association","","False","1","5","","","","","","","","","",""
